#,Name,Domain,City,Categories,Products,Sample Products,Tagline,Added
14,Dr. Squatch,pier39.fly.dev/dr-squatch,"Marina del Rey, CA",soap | personal-care | mens-grooming | natural-skincare | shampoo,549,Pine Tar Soap | Cool Fresh Aloe Soap | Bay Rum Soap | Cedar Citrus Soap,"Natural soap that performs. Pine Tar, Cool Fresh Aloe, Bay Rum — built for men who don't want chemicals on their skin.",2026-05-06
15,Gymshark,pier39.fly.dev/gymshark,"Solihull, UK",activewear | apparel | fitness | training,2500,Gymshark Everyday Seamless Leggings - Cherry Purple | Gymshark FeatherForm V-Neck Bralette - Pebble Grey | Gymshark FeatherForm V-Neck Bralette - Cool Brown | Gymshark x CBUM Straight Leg Jogger - Black,"Gymshark, accessible to AI shoppers via negotiate.v1.",2026-05-07
16,Taylor Stitch,pier39.fly.dev/taylor-stitch,"San Francisco, CA",mens-fashion | shirts | denim | premium,2474,The Conrad Shirt in Navy Pigeon Foulard Pincord | The Conrad Shirt in Heather Oat Pincord | The Conrad Shirt in Heather Chili Pincord | The Short Sleeve Rugby Shirt in Port Stripe,"Taylor Stitch, accessible to AI shoppers via negotiate.v1.",2026-05-07
17,Steve Madden,pier39.fly.dev/steve-madden,"Long Island City, NY",shoes | footwear | boots | fashion,2154,NICO GROMMET BODYSUIT BLACK | BIGSCHMONA JELLY NATURAL | DESSA TAUPE SUEDE | NOIR GREEN SNAKE,"Steve Madden, accessible to AI shoppers via negotiate.v1.",2026-05-07
18,OddBalls,pier39.fly.dev/oddballs,"Northampton, UK",underwear | apparel | basics | uk,2500,Juggle Dream Spinning Stars Cloths - Bargain Basement | KT Titanium Powder Bulk for Fire Performers: Highest Grade Sparkling Effect | Bicycle Red Stripper Deck: Magic Trick Cards for Beginners – Red Rider Back | Bicycle Gaff Short Deck - Blue Back Magic Playing Cards for Magicians,"OddBalls, accessible to AI shoppers via negotiate.v1.",2026-05-07
19,Rebecca Minkoff,pier39.fly.dev/rebecca-minkoff,"New York, NY",handbags | fashion | accessories | womens,594,Reina Shoulder Bag | Bow Clutch | Julian Washed Nylon Backpack | Edie Medium Crossbody,"Rebecca Minkoff, accessible to AI shoppers via negotiate.v1.",2026-05-07
20,Fashion Nova,pier39.fly.dev/fashion-nova,"Los Angeles, CA",fashion | apparel | womens | fast-fashion,2500,Soft Reign Feather Strapless Mini Dress - White | Under My Touch Mesh Lace Brief Panty - Black | Island Haze Tie Dye 2 Piece Bralette Bikini Set - Bubblegum Pink | Riviera Ready 1 Piece One Shoulder Cut Out Swimsuit - White/Black,"Fashion Nova, accessible to AI shoppers via negotiate.v1.",2026-05-07
21,Kith,pier39.fly.dev/kith,"New York, NY",streetwear | apparel | mens-fashion | premium,2500,CDG Homme Short - Navy | CDG Homme Short - Black | CDG Homme Jacket - Navy | Willy Chavarria Opera Bomber Jacket - Black,"Kith, accessible to AI shoppers via negotiate.v1.",2026-05-07
22,Chubbies,pier39.fly.dev/chubbies,"Austin, TX",shorts | mens-fashion | casual | apparel,1587,"The Malibu Sunsets 5.5"" (Faded Classic Swim Trunk) | The Back to Basic (Quilted Quarter-Zip) | The Miami Mosaic 5.5"" (Classic Lined Swim Trunk) | The Calm Seas (Crochet Sunday Shirt) - Cream/Navy (CQS)","Chubbies, accessible to AI shoppers via negotiate.v1.",2026-05-07
23,Taylor Swift Store,pier39.fly.dev/taylor-swift-store,—,music-merch | apparel | merchandise,267,evermore album deluxe edition vinyl | Taylor Swift | The Eras Tour Through London Beige T-Shirt | Taylor Swift | The Eras Tour Through Toronto Beige T-Shirt | Taylor Swift | The Eras Tour Through Toronto Black T-Shirt,"Taylor Swift Store, accessible to AI shoppers via negotiate.v1.",2026-05-07
24,Pura Vida Bracelets,pier39.fly.dev/pura-vida-bracelets,"La Jolla, CA",jewelry | bracelets | accessories,658,Harper Cheer Megaphone Charm | Harper Soccer Ball Charm | Harper Track And Field Charm | Harper Volleyball Charm,"Pura Vida Bracelets, accessible to AI shoppers via negotiate.v1.",2026-05-07
25,New Era,pier39.fly.dev/new-era,"Buffalo, NY",caps | hats | headwear | sportswear,2500,Puerto Rico Yaucromatic Gray 9FIFTY A-Frame Snapback Hat | Seattle Seahawks Super Bowl LX Champions Sidepatch 39THIRTY Stretch Fit Hat | USA World Baseball Classic Black and White 9FORTY M-Crown A-Frame Snapback Hat | USA 2026 World Baseball Classic Chrome White 9FIFTY A-Frame Snapback Hat,"New Era, accessible to AI shoppers via negotiate.v1.",2026-05-07
26,Elder Statesman,pier39.fly.dev/elder-statesman,"Los Angeles, CA",luxury | knitwear | cashmere | apparel,874,TES Teddy Keychain Charm | Elder Teddy Sitting Plushie | Elder Teddy Sitting Plushie | Elder Teddy Sitting Keychain,"Elder Statesman, accessible to AI shoppers via negotiate.v1.",2026-05-07
27,Paramount Shop,pier39.fly.dev/paramount-shop,—,entertainment-merch | apparel | tv | movies,2500,Star Trek Hoodie with Personalized Name Boldly Going Since 1966 | Star Trek T-Shirt with Personalized Name Boldly Going Since 1966 | Star Trek Mug with Personalized Name Boldly Going Since 1966 | Star Trek Mug Boldly Going Since 1966 Personalized Name,"Paramount Shop, accessible to AI shoppers via negotiate.v1.",2026-05-07
28,Nutrimuscle,pier39.fly.dev/nutrimuscle,Belgium,sports-nutrition | supplements | protein | fitness,192,Shaker Daily | Pack Découverte - Barres Protéine & Energie | Fer Ultimine™ | Créatine Micronisée (Opticreatine™),"Nutrimuscle, accessible to AI shoppers via negotiate.v1.",2026-05-07
29,Haus,pier39.fly.dev/haus,"Sonoma, CA",aperitif | beverage | alcohol | low-abv,10,Pomegranate Rosemary Case [6 Bottles] | Pomegranate Rosemary Case [3 Bottles] | Variety Case [12 Bottles] | Rosé Variety Case [3 Bottles],"Haus, accessible to AI shoppers via negotiate.v1.",2026-05-07
30,Stumptown Coffee,pier39.fly.dev/stumptown-coffee,"Portland, OR",coffee | beans | specialty | food,99,Wild Flower Bundle | Honduras El Puente Natural | Small World Tiny Tote | Peace Dove Mug,"Stumptown Coffee, accessible to AI shoppers via negotiate.v1.",2026-05-07
31,Pipcorn,pier39.fly.dev/pipcorn,"Brooklyn, NY",snacks | popcorn | non-gmo | food,35,"Classic Kimchi Balls | Dill Pickle Balls | APKT64C12 -- Kettle Popcorn | Kettle Popcorn, 24 Bags Snack Size","Pipcorn, accessible to AI shoppers via negotiate.v1.",2026-05-07
32,Death Wish Coffee,pier39.fly.dev/death-wish-coffee,"Round Lake, NY",coffee | high-caffeine | beans | food,134,Baba Yaga Mug | Witch's Kitchen Towel and Potholder Set | Trick or Treat Tea Towel Set | Brews Cruise Pullover,"Death Wish Coffee, accessible to AI shoppers via negotiate.v1.",2026-05-07
33,Partake Foods,pier39.fly.dev/partake-foods,"Jersey City, NJ",allergy-friendly | snacks | cookies | food,8,Classic Grahams | Vanilla Wafers | Crunchy Birthday Cake Cookies | Soft Baked Lemon Cookies,"Partake Foods, accessible to AI shoppers via negotiate.v1.",2026-05-07
34,PRESS Healthfoods,pier39.fly.dev/press-healthfoods,"London, UK",juice | health-food | wellness | beverage,147,Strawberry & Almond Shake 250ml | Happy Gut Shot - Weekly Add On for the Signature Nutrition Plan | Mixed Shot Box | Pom Power 250ml,"PRESS Healthfoods, accessible to AI shoppers via negotiate.v1.",2026-05-07
35,Jeffree Star Cosmetics,pier39.fly.dev/jeffree-star-cosmetics,"Los Angeles, CA",makeup | beauty | cosmetics,248,Ultimate Festival Season Trio | Brightening Magic Candy™ Color Corrector Trio | Pink Icons Magic Candy™ Color Corrector Duo | Ultimate Magic Candy™ Color Corrector Bundle,"Jeffree Star Cosmetics, accessible to AI shoppers via negotiate.v1.",2026-05-07
36,Kylie Cosmetics,pier39.fly.dev/kylie-cosmetics,"Calabasas, CA",makeup | lip-kits | beauty,249,Kylie’s 2026 Met Look Bundle | Crochet Bag | Cosmic Tray | Cosmic Silver Tray,"Kylie Cosmetics, accessible to AI shoppers via negotiate.v1.",2026-05-07
37,Beardbrand,pier39.fly.dev/beardbrand,"Austin, TX",mens-grooming | beard-care | personal-care,71,Norse Winter Utility Deodorant | Norse Winter Utility Bar 3-Pack | Black Sails Men's Cologne | Ghost Tracer Men's Cologne,"Beardbrand, accessible to AI shoppers via negotiate.v1.",2026-05-07
38,ColourPop,pier39.fly.dev/colourpop,"Oxnard, CA",makeup | beauty | lipstick,1162,Unhinged | Pink Icing | Glow Up | Fairy Coded,"ColourPop, accessible to AI shoppers via negotiate.v1.",2026-05-07
39,Soko Glam,pier39.fly.dev/soko-glam,"New York, NY",k-beauty | skincare | korean-beauty,807,345 Relief Cream | Summer Glow Set | Glowing Essentials Set | Glow On The Go Kit,"Soko Glam, accessible to AI shoppers via negotiate.v1.",2026-05-07
40,Hismile,pier39.fly.dev/hismile,"Gold Coast, Australia",teeth-whitening | oral-care | personal-care,52,Tooth Armour Toothpaste Serum Parent | Buy 2 Get 1 Free - Tooth Armour Toothpaste Serum | Buy 2 Get 1 Free - iD Stain Whitening Mouthwash | Buy 2 Get 1 Free - V34 Whitening Strips,"Hismile, accessible to AI shoppers via negotiate.v1.",2026-05-07
41,Cécred,pier39.fly.dev/cécred,"Los Angeles, CA",haircare | beauty | premium,69,Scalp Refreshing Spray Travel Size | The Takedown Bundle | Scalp Refreshing Spray | Ritual Shaking Vessel,"Cécred, accessible to AI shoppers via negotiate.v1.",2026-05-07
42,Brooklinen,pier39.fly.dev/brooklinen,"Brooklyn, NY",bedding | sheets | home | linen,317,DedCool | Brooklinen The Sleep Mode Duo | DedCool | Brooklinen Super-Plush Robe | DedCool | Brooklinen Sleep Mode Mini Pillow Spray | Organic Cotton Duvet Cover - Last Call,"Brooklinen, accessible to AI shoppers via negotiate.v1.",2026-05-07
43,Emma Bridgewater,pier39.fly.dev/emma-bridgewater,"Stoke-on-Trent, UK",pottery | homewares | home | ceramic,845,Father's Day Breakfast TEST | Seconds VE Day Anniversary 1/2 Pint Mug | Blue Shells Large Dish - Club Exclusive | Red & Blue Toast Medium Pasta Bowl,"Emma Bridgewater, accessible to AI shoppers via negotiate.v1.",2026-05-07
44,Nickey Kehoe,pier39.fly.dev/nickey-kehoe,"Los Angeles, CA",home-goods | interior-design | home,2302,Large Platter No. 3 | Large Platter No. 2 | Large Square Platter No. 1 | Medium Platter No.4,"Nickey Kehoe, accessible to AI shoppers via negotiate.v1.",2026-05-07
45,WP Standard,pier39.fly.dev/wp-standard,"Lawrence, KS",leather-goods | bags | accessories,43,Leather Valet Tray | Leather Dopp Kit | Solo Wine Tote | The Contigo Tote Bag,"WP Standard, accessible to AI shoppers via negotiate.v1.",2026-05-07
46,DB Journey,pier39.fly.dev/db-journey,Sweden,travel-bags | luggage | ski-bags,29,Ramverk Alu Carry-on Silver | Ramverk Alu Check-in Luggage Large Silver | Ramverk Alu Check-in Luggage Medium Silver | Hugger Backpack 30L Moss Green,"DB Journey, accessible to AI shoppers via negotiate.v1.",2026-05-07
47,American Girl,pier39.fly.dev/american-girl,"Middleton, WI",dolls | toys | kids,2349,American Girl® x Hanna Andersson Holiday Treetops Pajamas for Bitty Baby® Dolls | Courtney’s™ Gift Set (Historical Characters) | Fisher-Price® Little People Collector™ American Girl® | Polly Pocket™ x American Girl® Compact 3-Pack Set,"American Girl, accessible to AI shoppers via negotiate.v1.",2026-05-07
48,Cupshe,pier39.fly.dev/cupshe,"Los Angeles, CA",swimwear | dresses | womens-fashion | apparel,1407,Leopard Print Halter Shirred Tankini Set | Shadow Cutout High Waist Hipster Bikini Bottoms | Anastasia Smocked Long Sleeve Maxi Dress | Helah Belted Buffalo Plaid Top,"Cupshe — premium quality, fair prices.",2026-05-07
49,mnml,pier39.fly.dev/mnml,"Los Angeles, CA",streetwear | denim | mens-fashion | apparel,682,Gamble Cutoff Tee - Off White | Bleeding L/S Tee - Yellow | Quiet Zip Up Hoodie - Washed Black | 994 Phantom Tee - Washed Black,"mnml — premium quality, fair prices.",2026-05-07
50,Fangamer,pier39.fly.dev/fangamer,"Tucson, AZ",gaming-merch | collectibles | indie-games,1188,"""I feel sick."" Lenticular Pin | +Finely-Crafted Dwarven Pin+ | 143 Hoodie | 20XX/30XX for Nintendo Switch™","Fangamer — premium quality, fair prices.",2026-05-07
51,Bulletproof,pier39.fly.dev/bulletproof,"Bellevue, WA",coffee | wellness | supplements | food,139,"Always Caffeinated Glass Mug, 13 oz. | Apple Cider Vinegar Max Gummies, 60 count | Brain Octane C8 MCT Oil and Ground Coffee | Brain Octane C8 MCT Oil Packets","Bulletproof — premium quality, fair prices.",2026-05-07
52,G Fuel,pier39.fly.dev/g-fuel,"New York, NY",energy-drink | gaming | supplements | food,164,Candy Beam Collector's Box | Awakening | Scary Flavor Collector's Box | Level 3 Sour Shirley Temple,"G Fuel — premium quality, fair prices.",2026-05-07
53,Decathlon,pier39.fly.dev/decathlon,"Villeneuve-d'Ascq, France",sports-equipment | outdoor | fitness,502,Kiprun Kipstorm Lab Unisex Carbon Plate Running Shoes | Kiprun Kipride Women's Running Shoes | Quechua 2 Second Fresh & Black Waterproof Pop Up Camping Tent 2 Person | Quechua 2 Second Fresh & Black Waterproof Pop Up Camping Tent 3 Person,"Decathlon — premium quality, fair prices.",2026-05-07
54,CitieSocial,pier39.fly.dev/citiesocial,"Taipei, Taiwan",lifestyle | home | design,2500,【絕美禮盒】簡約證件套｜微光紙革 (3色) ▶ 禮物包裝.收到即可送禮 | 【絕美禮盒】簡約證件套 (2色) ▶ 禮物包裝.收到即可送禮 | 簡約證件套｜微光紙革 | 簡約證件套,"CitieSocial — premium quality, fair prices.",2026-05-07
55,Loreta,pier39.fly.dev/loreta,Australia,lifestyle | home,631,Baby Doll Blush Dress | Tropical Spice Dress | Green Jungle Dress | Phoebe Blouse/Shirt (Lilac - Purple),"Loreta — premium quality, fair prices.",2026-05-07
56,Spigen,pier39.fly.dev/spigen,"Seoul, South Korea",phone-cases | accessories | tech,946,Tesla Series - CryoShade | iPhone 12 Series - Liquid Crystal | Carabiner Black Strap + Key Ring | Carabiner + Keyring,"Spigen — premium quality, fair prices.",2026-05-07
57,Bee Inspired Clothing,pier39.fly.dev/bee-inspired-clothing,"Liverpool, UK",streetwear | mens-fashion | uk | apparel,536,Inzaghi T-Shirt - Black/Pink | Inzaghi T-Shirt - White/Red | Tonali T-Shirt - White/Aqua | Tonali T-Shirt - Black/Aqua,"Bee Inspired Clothing — premium quality, fair prices.",2026-05-07
58,RIPNDIP,pier39.fly.dev/ripndip,"Los Angeles, CA",streetwear | graphic-tees | skate | apparel,2500,Ripndip x NRG Lord Nermal Mirror (Clear) | Ripndip x NRG Stop Being A Pussy Quick Release (Black / Pink) | Ripndip x NRG Stop Being A Pussy Shift Knob (Black / Pink) | Ripndip x NRG Stop Being A Pussy Steering Wheel (Black / Pink),"RIPNDIP — premium quality, fair prices.",2026-05-07
59,Bohme,pier39.fly.dev/bohme,"Salt Lake City, UT",womens-fashion | boutique | apparel,2499,Zola Tank Top in Brown | Jordy Textured Maxi Dress in Cream | Halsey Floral Maxi Dress | Berkley Lace Trim Tank in Teal,"Bohme — premium quality, fair prices.",2026-05-07
60,Creative Booster,pier39.fly.dev/creative-booster,—,digital-products | tech,172,Riviera Stripe - Slim Phone Case | Orchard Stroll - Tough Phone Case (MagSafe) | Orchard Stroll - Tough Phone Case | Orchard Stroll - Slim Phone Case,"Creative Booster — premium quality, fair prices.",2026-05-07
61,Peakdesign,pier39.fly.dev/peakdesign,—,general,1553,Travel Backpack | 20L | Stone | Travel Backpack | 20L | Sage | Travel Crossbody | 3L | Stone | Travel Crossbody | 3L | Sage,"Peakdesign — premium quality, fair prices.",2026-05-07
62,KBDfans,pier39.fly.dev/kbdfans,"Shenzhen, China",mechanical-keyboards | tech | diy,494,GSK Sweet Nightmare | Ready to use Agar wired hotswap version with PBTfans Calkis | TOFU PAD Accessories | GMK CYL King of the Seas,"KBDfans — premium quality, fair prices.",2026-05-07
63,Bajaao,pier39.fly.dev/bajaao,"Mumbai, India",musical-instruments | audio | music,2499,Vault Artisan TL Telecaster Style Electric Guitar with Premium Alnico 5 Pickups | Vault ST2 Stratocaster Style Electric Guitar with Premium Alnico 5 Pickups | Yamaha F310 Dreadnought Acoustic Guitar - Open Box B Stock | Fender Squier Classic Vibe '50s Stratocaster Electric Guitar - Open Box,"Bajaao — premium quality, fair prices.",2026-05-07
64,The Yetee,pier39.fly.dev/the-yetee,Iowa,graphic-tees | gaming | nerd-merch,2498,The Silent | The Watcher | Video Game LoFi: PERSONA (Cassette) | Video Game LoFi: PERSONA (CD),"The Yetee — premium quality, fair prices.",2026-05-07
65,Mavi,pier39.fly.dev/mavi,"Istanbul, Turkey",denim | jeans | premium | apparel,1220,JAKE SLIM LEG JEANS IN DARK INDIGO WILLIAMSBURG | PALOMA WIDE LEG IN BLACK FLEX BLUE | MATT RELAXED STRAIGHT LEG JEANS IN DOUBLE BLACK SUPERMOVE | MATT RELAXED STRAIGHT LEG IN ANTHRACITE CASUAL TWILL,"Mavi — premium quality, fair prices.",2026-05-07
66,Goulet Pens,pier39.fly.dev/goulet-pens,"Richmond, VA",fountain-pens | ink | stationery,2500,BENU Talisman Fountain Pen - Pink Opal | Dominant Industry Keyno Fountain Pen - No.014 Cherishment | Sailor 1911 Casual L Fountain Pen - Supernova Crimson (Limited Edition) | Sailor 1911 Casual L Fountain Pen - Solar Flare (Limited Edition),"Goulet Pens — premium quality, fair prices.",2026-05-07
67,Culture Kings,pier39.fly.dev/culture-kings,"Brisbane, Australia",streetwear | sneakers | hats | apparel,2496,Carre Lush T-Shirt Off White | Fifa USA Sweatpants Black | Saint Morta The Cross T-Shirt Black | Saint Morta Consortium T-Shirt Black,"Culture Kings — premium quality, fair prices.",2026-05-07
68,William Painter,pier39.fly.dev/william-painter,"Salt Lake City, UT",sunglasses | eyewear | accessories,25,Z-Purple Dot Test Product | The Wrap | The Level Acetate | Titan Sock Pack,"William Painter — premium quality, fair prices.",2026-05-07
69,Ridge,pier39.fly.dev/ridge,"Sun Valley, CA",wallets | accessories | minimalist | mens,1138,Ridge Wallet - Philadelphia Eagles - Carbon Fiber 3k | Ridge Wallet - Tennessee Titans | Ridge Wallet - Los Angeles Rams | Curb Chain Kit - Titanium - Large,"Ridge — premium quality, fair prices.",2026-05-07
70,Outdoor Voices,pier39.fly.dev/outdoor-voices,"Austin, TX",activewear | athleisure | leggings | apparel,351,RecTrek Zip Pant | RecTrek Zip Pant | Energy Dress | Volley Dress,"Outdoor Voices — premium quality, fair prices.",2026-05-07
71,MrBeast Shop,pier39.fly.dev/mrbeast-shop,"Greenville, NC",creator-merch | youtube | apparel,212,Beast FC Pivot Hoodie | Beast FC Player Card Hoodie | International Beast Soccer Hoodie | Beast FC Pivot Tee,"MrBeast Shop — premium quality, fair prices.",2026-05-07
72,Secretlab,pier39.fly.dev/secretlab,Singapore,gaming-chairs | office | tech,132,Secretlab Leatherette XL Desk Mat (Designed for MAGNUS Evo XL) | Secretlab Leatherette Desk Mat (Designed for MAGNUS Evo) | Secretlab MAGNUS Lockable Casters (Heavy Duty Edition) | Secretlab TITAN Evo - Small - Secretlab NEO™ Hybrid Leatherette,"Secretlab — premium quality, fair prices.",2026-05-07
73,TeeFury,pier39.fly.dev/teefury,Indiana,graphic-tees | pop-culture | apparel,2500,Darthzig | Darthzig | Darthzig | Darthzig,"TeeFury — premium quality, fair prices.",2026-05-07
74,Halo Beauty,pier39.fly.dev/halo-beauty,—,beauty | supplements | haircare,45,Complete Beauty Foundation (HSN + Her Daily Multi) | Clear Skin + Foundation Bundle (Kiwi Skin Booster & Her Daily Multi) | Body + Beauty Bundle (TRYM + HSN combo) | Flowerdose Lip & Eye Serum,"Halo Beauty — premium quality, fair prices.",2026-05-07
75,Boys Don't Cry / Bdga,pier39.fly.dev/boys-don-t-cry-bdga,"Los Angeles, CA",streetwear | fashion | apparel,2499,RADIO DJ T-SHIRT | SMALL BASIC LOGO T-SHIRT | RECORD CONCERT MILK GLASS | RECORD CONCERT MILK GLASS,"Boys Don't Cry / Bdga — premium quality, fair prices.",2026-05-07
76,VICI,pier39.fly.dev/vici,"Boise, ID",womens-fashion | boutique | apparel,2500,Nyella Waist Tie Chambray Romper | Leelah Tiered Halter Neck Mini Dress | Maesy Tiered Halter Neck Chambray Maxi Dress | Korienna Mid Rise Chambray Shorts,"VICI — premium quality, fair prices.",2026-05-07
77,Al-Rugaib Furniture,pier39.fly.dev/al-rugaib-furniture,Saudi Arabia,furniture | home,2495,Woven Jute Rug with Gry Stripes - Natural Harmony | Rug 400*500 cm | Washed Diamond Rug | Vintage Moroccan Beni  Rug in Cream,"Al-Rugaib Furniture — premium quality, fair prices.",2026-05-07
78,Morphe,pier39.fly.dev/morphe,"Los Angeles, CA",makeup | beauty | cosmetics,129,Fully Covered Lip Bundle | Cheek Thrills Duos + Dual-Ended Sculpt Brush | Ultimate Glow Trio | Feeling Cheeky bundle,"Morphe — premium quality, fair prices.",2026-05-07
79,Deadstock,pier39.fly.dev/deadstock,"Vancouver, Canada",sneakers | streetwear | apparel,965,Gramicci One Point T-Shirt / Black | Salt & Stone Body Mist / Santal & Vetiver | Brother Brother Palo Santo Tin / Newps | Brother Brother Palo Santo Tin / Marbs,"Deadstock — premium quality, fair prices.",2026-05-07
80,Black Tailor,pier39.fly.dev/black-tailor,"Toronto, Canada",mens-tailoring | premium | apparel,176,B7 JACKET | C5 BOMBER | S4 CARGO SHORTS | S4 CARGO SHORTS,"Black Tailor — premium quality, fair prices.",2026-05-07
81,The Pi Hut,pier39.fly.dev/the-pi-hut,"Cambridge, UK",raspberry-pi | electronics | diy | tech,2500,SupTronics X-FAN40 PWM Fan HAT | Uctronics 5V 5A PoE+ NVMe HAT for Raspberry Pi 5 (with Active Cooler) | Cable Brackets for Shelly Flood Gen4 (10-Pack) | SupTronics X1001-MAX High-Power NVMe Add-on for Raspberry Pi 5,"The Pi Hut — premium quality, fair prices.",2026-05-07
82,Headphone Zone,pier39.fly.dev/headphone-zone,"Mumbai, India",headphones | audio | tech,1466,FiiO X Jade Audio - KA11 (Unboxed) | Tangzu - Wan'er S.G 2 Red Lion Edition (Unboxed) | Tangzu - Wan'er S.G 2 (Unboxed) | Truthear - NOVA (Unboxed),"Headphone Zone — premium quality, fair prices.",2026-05-07
83,Fanjoy,pier39.fly.dev/fanjoy,"Los Angeles, CA",creator-merch | youtube | apparel,277,Six Seven Official Hoodie | Six Seven Crewneck Sweater | Fanjoy Mystery Hoodie | Fanjoy Mystery Hat,"Fanjoy — premium quality, fair prices.",2026-05-07
84,Soylent,pier39.fly.dev/soylent,"Los Angeles, CA",meal-replacement | drinks | supplements | food,78,Soylent complete coffee - mocha | Soylent complete meal neapolitan variety pack | Soylent complete meal - strawberry | Soylent complete meal - mint chocolate,"Soylent — premium quality, fair prices.",2026-05-07
85,Timbuk2,pier39.fly.dev/timbuk2,"San Francisco, CA",bags | backpacks | messenger | accessories,140,Castle Crossbody Sling | Stow Packing Cubes | Relo Backpack | Long Haul Duffel,"Timbuk2 — premium quality, fair prices.",2026-05-07
86,MediaMarkt Portugal,pier39.fly.dev/mediamarkt-portugal,Portugal,electronics | appliances | tech,2500,"Smart TV Samsung 75"" Neo QLED Mini-LED Vision AI UHD 4K The Frame Pro 75LS03HW (2026) - 189 cm | Smart TV Samsung 75"" Mini-LED Vision AI UHD 4K 75M80H (2026) - 189 cm | Smart TV Samsung 43"" Mini-LED Vision AI UHD 4K 43M70H - 109 cm | Smart TV Samsung 55"" Neo QLED Mini-LED Vision AI UHD 4K The Frame Pro 55LS03HW (2026) - 140 cm","MediaMarkt Portugal — premium quality, fair prices.",2026-05-07
